english_text,marshallese_text,category,description,is_favorite,usage_count,id,created_date,updated_date,created_by_id,created_by,is_sample
"I think my arm is broken","Ij lōmnak ke ebwilok diin pāiū","common_phrases","This phrase is used by a patient to inform healthcare providers that they suspect their arm may be broken, indicating the need for immediate medical attention.","false","12","6903adef2e07c38a4ce15b3a","2025-10-30T18:26:55.927000","2025-10-30T20:27:05.823000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Where does it hurt?","Ewi jin emetak?","questions","","false","2","6903b40bd5901f5493469d3c","2025-10-30T18:52:59.624000","2025-10-30T18:52:59.624000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"All","Aolep","general","","false","0","6903b40bd5901f5493469d59","2025-10-30T18:52:59.624000","2025-11-03T17:36:01.990000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Cancer","Kanjur","symptoms","","false","0","6903b40bd5901f5493469d72","2025-10-30T18:52:59.624000","2025-10-30T18:52:59.624000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Hair","Kool in bar","body_parts","","false","0","6903b40bd5901f5493469d9b","2025-10-30T18:52:59.625000","2025-10-30T18:52:59.625000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Cost","Wōnāān","general","","false","0","6903b40bd5901f5493469dd1","2025-10-30T18:52:59.626000","2025-10-30T18:52:59.626000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Fish","Ek","general","","false","0","6903b40bd5901f5493469dd8","2025-10-30T18:52:59.626000","2025-10-30T18:52:59.626000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Drinks","Dān in idaak ko","general","","false","0","6903b40bd5901f5493469ddf","2025-10-30T18:52:59.626000","2025-10-30T18:52:59.626000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Dirty","Etoon","general","","false","0","6903b40bd5901f5493469de3","2025-10-30T18:52:59.626000","2025-10-30T18:52:59.626000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Wallet","Walōt","general","","false","0","6903b40bd5901f5493469e03","2025-10-30T18:52:59.627000","2025-10-30T18:52:59.627000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Ring","Riiñ","general","","false","0","6903b40bd5901f5493469e07","2025-10-30T18:52:59.627000","2025-10-30T18:52:59.627000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Levocetirizine","Levocetirizine (Wūno in bōbrae abnōnō jen kadeke mejatoto mwe ej jerbal ñan kōmanmanlok kakōllein abbwilōñlōñ ko āinwōt maje, uwur bōti, im mōnōjnōj māj.)","medication","","false","0","6903b40bd5901f5493469e3c","2025-10-30T18:52:59.627000","2025-10-30T18:52:59.627000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Azithromycin","Azithromycin (Wūno in wā ñan jipañ elōñ kain tōrañ ak inpekjen ko itok jen kij nana ko.)","medication","","false","0","6903b40bd5901f5493469e5d","2025-10-30T18:52:59.628000","2025-11-03T14:21:25.509000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Sulfamethoxazole/Trimethoprim","Sulfamethoxazole/Trimethoprim","medication","","false","0","6903b40bd5901f5493469e65","2025-10-30T18:52:59.628000","2025-10-30T18:52:59.628000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Phentermine","Phentermine (Wūno ñan jipañ āinwōt amphetamine, jerbal ñan kadiklok kole.)","medication","","false","0","6903b40bd5901f5493469e91","2025-10-30T18:52:59.628000","2025-11-03T14:44:06.715000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Nortriptyline","Nortriptyline (Juon wūno eo jerbal ñan jipañ jorāān ko ikkijjien mōjoliñōr/tammwin āinwōt nana wōt mour ak jaje emōnōnō.)","medication","","false","0","6903b40bd5901f5493469e97","2025-10-30T18:52:59.628000","2025-11-03T14:41:27.982000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Varenicline","Varenicline (Wūno ñan jipañ mōkaj bōjrak kōbaatat.)","medication","","false","0","6903b40bd5901f5493469e9e","2025-10-30T18:52:59.628000","2025-11-03T14:48:10.394000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Nystatin","Nystatin (Wūnoin jipañ mwe ej manman kij in inpekjen ko itok jen kito, lirouwe, karko ak kij nana ko jet.)","medication","","false","0","6903b40bd5901f5493469ead","2025-10-30T18:52:59.628000","2025-11-03T14:41:38.832000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Guanfacine","Guanfacine (Jerbal ñan jipañ aer in bōtōktōk im utamwe ko ikkijjien ADHD ak utamwe ko rej men bwe armej ren jaje kōlmānlokjen ak jaje tōt.)","medication","","false","0","6903b40bd5901f5493469eb7","2025-10-30T18:52:59.629000","2025-11-03T14:33:26.282000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Swollen","Bōbōj","symptoms","","false","0","6903b40bd5901f5493469ece","2025-10-30T18:52:59.629000","2025-10-30T18:52:59.629000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Take care.","Kōjparok wōt.","general","","false","0","6903b40bd5901f5493469eda","2025-10-30T18:52:59.629000","2025-11-03T17:37:33.279000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Nerve","Nōōb","body_parts","","false","0","6903b40bd5901f5493469eea","2025-10-30T18:52:59.629000","2025-10-30T18:52:59.629000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Appointment","Iien lolok","general","","false","0","6903b40bd5901f5493469eed","2025-10-30T18:52:59.629000","2025-10-30T18:52:59.629000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
